,cluster,kingdom
3895,2279,Eukaryota
6636,2288,Eukaryota
158,2309,Eukaryota
2859,2317,Eukaryota
2820,2329,Eukaryota
3634,2330,Eukaryota
2503,2340,Bacteria
1076,2343,Bacteria
4923,2363,Eukaryota
2449,2368,Eukaryota
637,2370,Eukaryota
4136,2378,Eukaryota
1171,2388,Eukaryota
535,2400,
6296,2402,Eukaryota
5673,2405,Eukaryota
5927,2428,Eukaryota
3407,2440,Eukaryota
1704,2446,Eukaryota
1941,2454,
2329,2456,Eukaryota
5136,2457,Eukaryota
4372,2461,Eukaryota
4303,2476,Eukaryota
2868,2479,Bacteria
1651,2481,
510,2484,Eukaryota
4909,2490,Eukaryota
1281,2492,Bacteria
1934,2495,Eukaryota
2301,2512,Bacteria
6865,2515,
702,2516,Eukaryota
2432,2523,Bacteria
2464,2530,Bacteria
2528,2533,
1178,2551,Eukaryota
3562,2555,Eukaryota
2989,2557,Eukaryota
5250,2558,Eukaryota
4123,2561,Eukaryota
4155,2567,Eukaryota
2487,2570,Bacteria
433,2573,Eukaryota
6254,2576,Eukaryota
2649,2578,Bacteria
795,2589,Bacteria
1160,2592,Eukaryota
681,2603,Eukaryota
4101,2609,Eukaryota
2170,2612,Viruses
5468,2622,Bacteria
6353,2626,Eukaryota
5152,2628,Eukaryota
2689,2638,Eukaryota
6280,2640,
3957,2644,Eukaryota
1352,2668,Eukaryota
4268,2671,Eukaryota
3047,2679,Bacteria
4506,2685,Viruses
3369,2691,Bacteria
6220,2693,Viruses
1180,2694,Bacteria
3944,2703,Eukaryota
2721,2722,Eukaryota
5923,2726,Eukaryota
3051,2731,Eukaryota
6284,2737,Eukaryota
6704,2738,Eukaryota
6411,2740,Eukaryota
3651,2743,Eukaryota
3566,2747,Bacteria
3950,2769,Eukaryota
6729,2771,Eukaryota
2468,2795,Bacteria
6352,2800,Eukaryota
3512,2806,Bacteria
2263,2822,Viruses
3780,2832,Eukaryota
2702,2845,Eukaryota
132,2846,Bacteria
2325,2847,Eukaryota
6462,2852,Eukaryota
6559,2853,Viruses
565,2855,Eukaryota
4933,2859,Eukaryota
4033,2867,
6272,2869,Eukaryota
16,2875,Eukaryota
5118,2878,Eukaryota
740,2881,Viruses
418,2884,Bacteria
3129,2896,Bacteria
5413,2909,Eukaryota
5016,2923,Viruses
441,2925,Eukaryota
406,2931,Eukaryota
2793,2949,Bacteria
596,2957,Eukaryota
6111,2959,Eukaryota
2991,2961,Eukaryota
4117,2963,Eukaryota
1981,2964,Eukaryota
1109,2966,Eukaryota
2320,2985,Eukaryota
5066,2996,Eukaryota
192,3005,Bacteria
3691,3007,Eukaryota
3072,3008,Eukaryota
1705,3037,Eukaryota
6218,3053,Eukaryota
5077,3057,Bacteria
2156,3061,Viruses
4746,3071,Eukaryota
4206,3091,Viruses
3282,3102,Eukaryota
6082,3105,Viruses
694,3106,Eukaryota
2404,3110,Viruses
2302,3115,Bacteria
4046,3116,Eukaryota
296,3157,Eukaryota
4938,3164,Eukaryota
1449,3165,Eukaryota
3657,3167,
1205,3169,Eukaryota
351,3171,Eukaryota
4578,3176,Eukaryota
6115,3180,Viruses
1822,3182,Eukaryota
3403,3183,Eukaryota
3111,3193,Bacteria
5176,3198,Eukaryota
6304,3213,Eukaryota
578,3217,
4347,3219,Bacteria
2179,3225,Eukaryota
730,3248,Eukaryota
588,3256,Viruses
97,3258,Bacteria
5946,3270,Eukaryota
2202,3271,Eukaryota
550,3277,Eukaryota
4521,3291,Eukaryota
2748,3298,Eukaryota
5164,3304,Eukaryota
4227,3307,Eukaryota
5231,3311,Bacteria
4467,3315,Eukaryota
3583,3316,Eukaryota
2758,3320,Eukaryota
1117,3324,Viruses
4241,3330,Eukaryota
6112,3331,Eukaryota
1706,3349,Eukaryota
5409,3368,Eukaryota
923,3390,Eukaryota
4984,3392,Eukaryota
2370,3394,Bacteria
5198,3398,
707,3405,Eukaryota
5794,3413,
2556,3421,Eukaryota
3680,3434,Eukaryota
3577,3436,Eukaryota
5709,3437,Bacteria
5941,3440,Bacteria
3837,3451,Bacteria
5935,3452,Eukaryota
1804,3453,Bacteria
1460,3468,Eukaryota
6149,3477,Bacteria
6875,3484,Eukaryota
2479,3487,Eukaryota
1719,3489,Bacteria
6887,3523,Eukaryota
544,3528,Eukaryota
5629,3529,Eukaryota
3958,3534,Eukaryota
6580,3538,Eukaryota
2444,3541,Viruses
5855,3561,Eukaryota
2392,3569,Eukaryota
5740,3571,Bacteria
196,3573,Eukaryota
2112,3576,Eukaryota
1071,3598,Eukaryota
6696,3601,Bacteria
706,3608,Eukaryota
2665,3611,Viruses
1525,3615,Eukaryota
6822,3619,Eukaryota
2729,3621,Bacteria
2016,3623,Eukaryota
1988,3625,Eukaryota
4658,3630,
60,3632,Eukaryota
1939,3638,Eukaryota
5024,3670,Viruses
6299,3676,Bacteria
5125,3691,Bacteria
5837,3695,Bacteria
3851,3697,Eukaryota
1744,3699,Eukaryota
5159,3701,Eukaryota
468,3702,Eukaryota
5781,3736,Eukaryota
352,3743,Eukaryota
2688,3751,Eukaryota
3705,3757,Bacteria
2450,3761,Viruses
622,3777,Eukaryota
5089,3778,Eukaryota
4563,3779,Eukaryota
5414,3794,Bacteria
5584,3799,Eukaryota
2141,3803,Viruses
3873,3808,Eukaryota
3624,3811,Bacteria
3784,3813,Eukaryota
6295,3819,Eukaryota
4610,3834,Eukaryota
1231,3857,
4279,3872,Eukaryota
3940,3877,Eukaryota
6417,3895,Eukaryota
4530,3898,Eukaryota
5588,3900,Eukaryota
5341,3901,Eukaryota
6257,3918,
1069,3939,Eukaryota
1754,3950,Eukaryota
1825,3967,Eukaryota
1925,3973,Eukaryota
5245,3977,Bacteria
47,3980,Eukaryota
6721,3982,Eukaryota
6839,3992,Bacteria
4665,4007,Eukaryota
3885,4015,Bacteria
437,4029,Bacteria
2926,4035,Viruses
2290,4036,Eukaryota
4167,4041,Eukaryota
4727,4043,Eukaryota
4796,4054,Viruses
1919,4061,Eukaryota
3157,4062,Bacteria
5146,4070,Eukaryota
3859,4073,Eukaryota
2762,4081,Eukaryota
1493,4089,Eukaryota
1641,4090,Eukaryota
4420,4094,
2544,4114,Eukaryota
5498,4124,Eukaryota
699,4126,Viruses
1229,4130,Eukaryota
425,4133,Eukaryota
4649,4140,
194,4148,Eukaryota
2866,4153,Eukaryota
115,4160,Eukaryota
436,4164,Bacteria
4824,4165,Viruses
6114,4169,Eukaryota
1964,4184,Eukaryota
4755,4203,Bacteria
2728,4217,Eukaryota
6288,4231,Viruses
4652,4251,Eukaryota
