sample_name,uploader,upload_date,runtime_seconds,overall_job_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CMS_water3_Qiagen_S26,,2018-04-15 09:23:03 -0700,10019.0,COMPLETE,8462350,111706,1.32,81.587,1.53,,,,Mosquito,
CMS_water4_Zymo_S27,,2018-04-15 09:23:03 -0700,14239.0,COMPLETE,1069066,18072,1.69,47.793,1.37,,,,Mosquito,
CMS_water5_RNA_A_S12,,2018-04-19 14:22:25 -0700,14381.0,COMPLETE,31114,534,1.716,15.251,1.09,,,,Mosquito,
FREZtarsABDO05_DNA_S9,,2017-10-02 16:10:11 -0700,25363.0,COMPLETE,57683728,18907812,32.778,70.134,1.04,,,,Mosquito,
FREZtarsABDO05_RNA_S2,,2017-10-02 16:10:33 -0700,6073.0,COMPLETE,52928538,398342,0.753,48.26,1.4,,,,Mosquito,
FREZtarsABDO20_RNA_S3,,2017-10-02 16:12:10 -0700,8097.0,COMPLETE,58384418,398696,0.683,48.096,1.34,,,,Mosquito,
FREZtarsHEAD05_DNA_S8,,2017-10-02 16:12:18 -0700,65708.0,COMPLETE,101079952,29507684,29.192,68.485,1.05,Insect head,,,Mosquito,
FREZtarsHEAD05_RNA_S1,,2017-10-02 16:12:27 -0700,8493.0,COMPLETE,60760662,489282,0.805,43.956,1.34,Insect head,,,Mosquito,
FREZtarsHEAD20_DNA_S10,,2017-10-02 16:12:37 -0700,70326.0,COMPLETE,59150136,18876628,31.913,70.316,1.03,Insect head,,,Mosquito,
FREZtarsHEAD20_RNA_S6,,2017-10-02 16:12:44 -0700,11689.0,COMPLETE,81876908,1211386,1.48,46.875,1.58,Insect head,,,Mosquito,Mosquito Head
TEAtarsABDO05_DNA_S12,,2017-10-02 16:12:52 -0700,73130.0,COMPLETE,55003416,15112574,27.476,66.712,1.04,,,,Mosquito,
TEAtarsABDO05_RNA_S4,,2017-10-02 16:13:00 -0700,1601.0,COMPLETE,33181308,330538,0.996,52.682,1.31,,,,Mosquito,
TEAtarsABDO20_RNA_S5,,2017-10-02 16:13:08 -0700,2534.0,COMPLETE,61340566,541044,0.882,42.941,1.29,,,,Mosquito,
TEAtarsHEAD05_DNA_S11,,2017-10-02 16:13:17 -0700,19514.0,COMPLETE,51114196,14173302,27.729,65.325,1.03,Insect head,,,Mosquito,
TEAtarsHEAD05_RNA_S7,,2017-10-02 16:13:25 -0700,9410.0,COMPLETE,82770328,906146,1.095,45.441,1.81,Insect head,,,Mosquito,
TEAtarsHEAD20_DNA_S13,,2017-10-02 16:13:34 -0700,17258.0,FAILED,52397738,,"",69.567,1.02,Insect head,,,Mosquito,
